City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
260,Leningradskiy,RU,69.3833,178.4167,8.49,94,100,6.55,overcast clouds
261,Mantua,IT,45.1667,10.7833,52.84,80,100,1.01,overcast clouds
262,Tual,ID,-5.6667,132.75,79.79,80,100,0.65,moderate rain
263,Odweyne,SO,9.4092,45.064,73.22,45,4,8.75,clear sky
264,Anadyr,RU,64.75,177.4833,3.7,85,75,4.47,broken clouds
265,Port-Gentil,GA,-0.7193,8.7815,80.56,83,40,10.36,scattered clouds
266,Mehamn,NO,71.0357,27.8492,30.38,68,77,6.98,broken clouds
267,Sinjar,IQ,36.3209,41.8754,67.03,17,4,7.94,clear sky
268,Castro,BR,-24.7911,-50.0119,61.36,87,95,3.42,overcast clouds
269,Olafsvik,IS,64.8945,-23.7142,42.6,90,100,18.39,moderate rain
270,Thompson,CA,55.7435,-97.8558,32.16,86,75,3.44,broken clouds
271,Ponta Do Sol,PT,32.6667,-17.1,71.71,71,77,6.44,broken clouds
272,Geraldton,AU,-28.7667,114.6,65.12,77,90,4.61,overcast clouds
273,Chandla,IN,25.0833,80.2,77.25,49,93,3.8,overcast clouds
274,Salekhard,RU,66.53,66.6019,20.39,87,69,9.33,broken clouds
275,Hervey Bay,AU,-25.2986,152.8535,76.03,91,15,12.95,few clouds
276,Upernavik,GL,72.7868,-56.1549,16.27,67,94,8.41,overcast clouds
277,Puli,TW,23.9664,120.9695,70.21,90,13,4.12,few clouds
278,Saint-Joseph,RE,-21.3667,55.6167,71.98,80,34,10.65,scattered clouds
279,Harper,LR,4.375,-7.7169,77.7,86,98,6.93,overcast clouds
280,Iringa,TZ,-7.7667,35.7,67.71,52,8,8.19,clear sky
281,Safranbolu,TR,41.2508,32.6942,49.28,91,100,3.85,overcast clouds
282,Hilo,US,19.7297,-155.09,79.29,90,45,1.99,scattered clouds
283,Brigantine,US,39.4101,-74.3646,65.03,66,44,8.34,scattered clouds
284,Stutterheim,ZA,-32.5708,27.424,47.73,88,72,4.07,broken clouds
285,Lahij,YE,13.1667,44.5833,78.13,64,11,4.5,few clouds
286,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.69,88,100,11.52,moderate rain
287,Alyangula,AU,-13.8483,136.4192,73.27,100,42,0.0,scattered clouds
288,Nisia Floresta,BR,-6.0911,-35.2086,85.01,68,58,10.31,broken clouds
289,Ulverstone,AU,-41.15,146.1667,44.22,73,16,6.31,few clouds
290,Tortoli,IT,39.9256,9.6572,63.99,92,100,11.45,moderate rain
291,Ostroh,UA,50.3294,26.5143,36.39,71,64,3.18,broken clouds
292,Elk City,US,35.412,-99.4043,72.28,46,1,12.66,clear sky
293,Kholm-Zhirkovskiy,RU,55.5189,33.4731,29.7,90,19,6.53,few clouds
294,Bethel,US,41.3712,-73.414,58.68,68,100,5.03,overcast clouds
295,Norden,DE,53.6,7.2,46.94,83,15,3.0,few clouds
296,Kruisfontein,ZA,-34.0033,24.7314,53.89,78,0,3.33,clear sky
297,Codrington,AU,-38.2667,141.9667,50.27,65,100,9.78,overcast clouds
298,Mananjary,MG,-21.2167,48.3333,76.71,89,55,13.22,broken clouds
299,Fortuna,US,40.5982,-124.1573,57.36,74,75,5.01,broken clouds
